"issuer","start","end","active","length"
"American Express","34","34","Yes","15"
"American Express","37","37","Yes","15"
"Bankcard","5610","5610","No","16"
"Bankcard","560221","560225","No","16"
"China UnionPay","62","62","Yes","16"
"China UnionPay","62","62","Yes","17"
"China UnionPay","62","62","Yes","18"
"China UnionPay","62","62","Yes","19"
"Diners Club Carte Blanche","300","305","Yes","14"
"Diners Club enRoute","2014","2014","No","15"
"Diners Club enRoute","2149","2149","No","15"
"Diners Club International","36","36","Yes","14"
"Diners Club United States & Canada","54","54","Yes","16"
"Diners Club United States & Canada","55","55","Yes","16"
"Discover Card","6011","6011","Yes","16"
"Discover Card","622126","622925","Yes","16"
"Discover Card","644","649","Yes","16"
"Discover Card","65","65","Yes","16"
"InterPayment","636","639","Yes","16"
"JCB","3528","3589","Yes","16"
"Laser","6304","6304","No","16"
"Laser","6706","6706","No","17"
"Laser","6771","6771","No","18"
"Laser","6709","6709","No","19"
"Maestro","50","50","Yes","12"
"Maestro","56","58","Yes","12"
"Maestro","50","50","Yes","13"
"Maestro","56","58","Yes","13"
"Maestro","50","50","Yes","14"
"Maestro","56","58","Yes","14"
"Maestro","50","50","Yes","15"
"Maestro","56","58","Yes","15"
"Maestro","50","50","Yes","16"
"Maestro","56","58","Yes","16"
"Maestro","50","50","Yes","17"
"Maestro","56","58","Yes","17"
"Maestro","50","50","Yes","18"
"Maestro","56","58","Yes","18"
"Maestro","50","50","Yes","19"
"Maestro","56","58","Yes","19"
"MasterCard","2221","2720","Yes","16"
"MasterCard","51","55","Yes","16"
"Solo","6334","6334","No","18"
"Solo","6767","6767","No","18"
"Visa","4","4","Yes","13"
"Visa","4","4","Yes","16"
"Visa","4","4","Yes","19"
"UATP","1","1","Yes","15"
